Date,Open,High,Low,Close,Volume,Adj Close
2016-11-22,772.630005,776.960022,767.00,768.27002,1591800,768.27002
2016-11-21,762.609985,769.700012,760.599976,769.200012,1323000,769.200012
2016-11-18,771.369995,775.00,760.00,760.539978,1526200,760.539978
2016-11-17,766.919983,772.700012,764.22998,771.22998,1287000,771.22998
2016-11-16,755.200012,766.359985,750.51001,764.47998,1465200,764.47998
2016-11-15,746.969971,764.416016,746.969971,758.48999,2341200,758.48999
2016-11-14,755.599976,757.849976,727.539978,736.080017,3631700,736.080017
2016-11-11,756.539978,760.780029,750.380005,754.02002,2394000,754.02002
2016-11-10,791.169983,791.169983,752.179993,762.559998,4740100,762.559998
2016-11-09,779.940002,791.22699,771.669983,785.309998,2602700,785.309998
2016-11-08,783.400024,795.632996,780.190002,790.51001,1350800,790.51001
2016-11-07,774.50,785.190002,772.549988,782.52002,1585100,782.52002
2016-11-04,750.659973,770.359985,750.560974,762.02002,2134800,762.02002
2016-11-03,767.25,769.950012,759.030029,762.130005,1943200,762.130005
2016-11-02,778.200012,781.650024,763.450012,768.700012,1872400,768.700012
2016-11-01,782.890015,789.48999,775.539978,783.609985,2406400,783.609985
