,CFC-12,Halon-1211,HCFC-22,HCFC-141b,Methylchloroform,HFC-23,HFC-125,HFC-134a,HFC-152a,Nitrogentrifluoride,PFC-14,PFC-116,Sulfurhexafluoride
1986.62,412.585,,,,109.395,6.04778,,,,,,,
1986.71,417.228,,,,110.315,6.09446,,,,,,,
1986.79,417.92199999999997,,,,109.963,6.14204,,,,,,,
1986.88,418.51,,,,109.568,6.26,,,,,,,
1986.96,420.528,,,,111.1,6.25603,,,,,,,
1987.04,421.538,,,,110.37799999999999,6.24,,,,,,,
1987.12,421.309,,,,110.47,6.22431,,,,,,,
1987.21,421.86800000000005,,,,111.12899999999999,6.2196,,,,,,,
1987.29,422.809,,,,113.051,6.21914,,,,,,,
1987.38,424.574,,,,113.85700000000001,6.22,,,,,,,
1987.46,427.605,,,,114.934,6.2918199999999995,,,,,,,
1987.54,429.374,,,,114.98100000000001,6.31291,,,,,,,
1987.62,430.716,,,,114.404,6.335319999999999,,,,,,,
1987.71,432.689,,,,114.061,6.35905,,,,,,,
1987.79,435.329,,,,114.661,6.3840900000000005,,,,,,,
1987.88,436.835,,,,115.036,6.41045,,,,,,,
1987.96,438.339,,,,116.277,6.43813,,,,,,,
1988.04,440.656,,,,117.089,6.4671199999999995,,,,,,,
1988.12,441.599,,,,118.00399999999999,6.4974300000000005,,,,,,,
1988.21,442.68,,,,118.287,6.529059999999999,,,,,,,
1988.29,444.764,,,,119.506,6.562,,,,,,,
1988.38,447.486,,,,120.324,6.596260000000001,,,,,,,
1988.46,448.11699999999996,,,,120.471,6.66,,,,,,,
1988.54,450.1,,,,120.59899999999999,6.64664,,,,,,,
1988.62,453.079,,,,119.76299999999999,6.6900699999999995,,,,,,,
1988.71,455.295,,,,119.3,6.73538,,,,,,,
1988.79,456.64099999999996,,,,118.391,6.78255,,,,,,,
1988.88,458.833,,,,120.58,6.8316,,,,,,,
1988.96,460.431,,,,121.67,6.88253,,,,,,,
1989.04,461.17699999999996,,,,121.134,6.93532,,,,,,,
1989.12,463.13,,,,121.82700000000001,6.98999,,,,,,,
1989.21,463.719,,,,122.339,7.046530000000001,,,,,,,
1989.29,465.70599999999996,,,,123.275,7.05,,,,,,,
1989.38,467.099,,,,123.825,7.2567,,,,,,,
1989.46,468.024,,,,123.573,7.311439999999999,,,,,,,
1989.54,470.792,,,,125.18,7.365410000000001,,,,,,,
1989.62,472.472,,,,124.236,7.4186,,,,,,,
1989.71,474.175,,,,123.469,7.471010000000001,,,,,,,
1989.79,474.624,,,,123.568,7.52263,,,,,,,
1989.88,476.66900000000004,,,,125.18700000000001,7.57348,,,,,,,
1989.96,477.719,,,,125.729,7.62355,,,,,,,
1990.04,479.006,,,,125.883,7.672839999999999,,,,,,,
1990.12,479.83,,,,126.209,7.72135,,,,,,,
1990.21,480.833,,,,126.23100000000001,7.769080000000001,,,,,,,
1990.29,482.274,,,,127.44200000000001,7.8160300000000005,,,,,,,
1990.38,484.38,,,,129.265,8.05,,,,,,,
1990.46,485.33099999999996,,,,129.963,8.032060000000001,,,,,,,
1990.54,486.347,,,,128.357,8.07058,,,,,,,
1990.62,487.783,,,,128.511,8.10497,,,,,,,
1990.71,489.602,,,,128.467,8.13524,,,,,,,
1990.79,489.934,,,,127.626,8.16137,,,,,,,
1990.88,491.659,,,,130.137,8.18338,,,,,,,
1990.96,491.815,,,,131.215,8.07,,,,,,,
1991.04,492.395,,,,129.16299999999998,8.1371,,,,,,,
1991.12,492.855,,,,127.544,8.21198,,,,,,,
1991.21,492.79400000000004,,,,127.148,8.31,,,,,,,
1991.29,494.17400000000004,,,,128.833,8.40635,,,,,,,
1991.38,495.361,,,,130.006,8.53198,,,,,,,
1991.46,496.09,,,,129.395,8.65,,,,,,,
1991.54,497.43,,,,129.315,8.85,,,,,,,
1991.62,497.105,,,,129.545,8.65553,,,,,,,
1991.71,498.20300000000003,,,,129.372,8.639560000000001,,,,,,,
1991.79,499.06,,,,128.975,8.64931,,,,,,,
